,x,y,label
0,733,16,a
8,941,16,a
16,941,18,a
24,937,17,a
32,701,26,a
40,685,32,a
48,565,32,a
56,533,32,a
64,461,32,a
72,469,32,a
80,461,31,a
88,489,32,a
96,517,32,a
104,529,32,a
112,573,32,a
120,585,32,a
128,593,32,a
136,605,32,a
144,617,32,a
152,541,32,a
160,501,31,a
168,705,31,a
176,709,30,a
184,721,29,a
192,721,28,a
200,725,27,a
208,737,26,a
216,749,25,a
224,761,24,a
232,761,23,a
240,773,22,a
248,773,21,a
256,713,20,a
264,725,18,a
272,709,18,a
280,701,20,a
288,701,29,a
296,701,27,a
304,705,26,a
312,717,25,a
320,725,24,a
328,713,24,a
336,713,27,a
344,705,27,a
352,701,31,a
360,709,30,a
368,701,29,a
376,713,28,a
384,709,27,a
392,705,27,a
400,717,26,a
408,729,25,a
416,741,24,a
424,701,23,a
432,713,22,a
440,701,21,a
448,713,20,a
456,701,20,a
464,709,19,a
472,753,18,a
480,701,18,a
488,701,18,a
496,713,18,a
504,1401,14,a
512,1413,13,a
520,1269,16,a
528,1277,16,a
536,1285,16,a
544,713,17,a
552,705,17,a
560,709,17,a
568,769,16,a
576,1401,15,a
584,1413,15,a
592,1413,14,a
600,1401,13,a
608,1409,12,a
616,1405,11,a
624,1401,10,a
632,1409,9,a
640,1225,16,a
648,705,24,a
656,857,16,a
664,701,26,a
672,653,32,a
680,641,32,a
688,705,31,a
696,713,30,a
704,725,29,a
712,737,28,a
720,737,27,a
728,705,27,a
736,701,27,a
744,713,27,a
752,749,26,a
760,761,25,a
768,773,24,a
776,777,23,a
784,713,22,a
792,705,25,a
800,717,25,a
808,713,29,a
816,673,32,a
824,489,32,a
832,325,32,a
840,325,32,a
848,389,32,a
856,529,32,a
864,701,31,a
872,713,30,a
880,701,29,a
888,701,28,a
896,713,27,a
904,725,26,a
912,705,25,a
920,713,24,a
928,725,23,a
936,725,22,a
944,733,21,a
952,745,20,a
960,757,19,a
968,753,18,a
976,753,17,a
984,757,16,a
992,1409,15,a
1000,1405,14,a
1008,1401,13,a
1016,1405,12,a
1024,1401,11,a
1032,1405,12,a
1040,1401,11,a
1048,1409,11,a
1056,1409,10,a
1064,1405,9,a
1072,1405,9,a
1080,1193,16,a
1088,489,17,a
1096,189,16,a
1104,149,15,a
1112,121,14,a
1120,117,13,a
1128,109,12,a
1136,101,11,a
1144,89,10,a
1152,85,9,a
1160,81,8,a
1168,77,7,a
1176,69,6,a
1184,57,5,a
1192,53,4,a
1200,29,3,a
1208,17,2,a
1216,5,1,a
